Date,SP500,DJIA
1999-10,0.06253954162596531,0.03801024480141635
1999-11,0.01906185862124965,0.013788623523512733
1999-12,0.057843894876779434,0.056933334926791535
2000-01,-0.05090354874936187,-0.04841125429672821
2000-02,-0.020108083261058285,-0.0742395478098411
2000-03,0.09671982826973236,0.07835561905194455
2000-04,-0.03079575555193137,-0.01721400632855763
2000-05,-0.021915050512993584,-0.01971136333358492
2000-06,0.02393354960890126,-0.007074478751379232
2000-07,-0.016341276221772727,0.0070913840019373175
2000-08,0.060699105184236046,0.06587353330836976
2000-09,-0.053482974745611256,-0.05030539183779015
2000-10,-0.0049494858723608814,0.03006500846875193
2000-11,-0.0800686099610699,-0.050737662631230585
2000-12,0.004053445529197841,0.03586349403571365
2001-01,0.0346365770863295,0.009211169087105286
