Date,AMZN,BA,DIS,IBM,KO,MSFT
2017-04-21,0.2784284938125966,0.06423306328391735,0.12977656089014378,0.09003163362798097,0.1161575798962844,0.321372668489077
2017-04-24,0.2787400759327378,0.06426870464501787,0.12781847550712175,0.08945624405259894,0.11571101207530912,0.3240054877872145
2017-04-25,0.2778442138368259,0.0645574236339483,0.1290362370263878,0.08894845567078788,0.11485949688950486,0.32475417294254516
2017-04-26,0.2783389780531238,0.06392041664349656,0.12947669922419486,0.08876019571527516,0.1151990468671556,0.3243046634967541
2017-04-27,0.27965606564751283,0.06411562206564163,0.1290915129500477,0.08844094115385241,0.11398897693538292,0.3247068812475626
2017-04-28,0.28066775583546166,0.0644491365467918,0.12836618500264335,0.08811010901346454,0.1139535532371697,0.324453260364469
2017-05-01,0.2851177414572895,0.06302324044763151,0.1262481026979347,0.08652353494211533,0.11310632727336764,0.3259810531816615
2017-05-02,0.28482991971121957,0.06340833396146113,0.12589618853662893,0.08669561867827087,0.11359112023846238,0.325578818873957
2017-05-03,0.2848453653035052,0.06379262809427344,0.1236474096287568,0.08698709709593316,0.11412629633356516,0.3266012035439663
2017-05-04,0.284303283711714,0.06379740870114851,0.12337342562134135,0.08737641076583604,0.11523171371850432,0.32591775748145585
2017-05-05,0.2834646138416211,0.06451587502996613,0.12436517747052431,0.08523497327241107,0.11538672987696835,0.32703263050850906
2017-05-08,0.28701542717679907,0.06465014730903071,0.12331650094941095,0.08384190294914878,0.1155255091963294,0.32565051241928106
2017-05-09,0.2878304781122969,0.06488549278673762,0.12389466400139958,0.08324295834313171,0.11439487944433128,0.3257515273121029
2017-05-10,0.2878609789620712,0.06385673038353926,0.12173768117534887,0.08311868742115865,0.11503198523035658,0.3283939368275254
2017-05-11,0.28870484078571096,0.0643998988392463,0.12217671939081384,0.08314819174760636,0.11579628507164805,0.3257740641649745
2017-05-12,0.29191964566655076,0.06394622790662574,0.12189507103967033,0.08271929368923188,0.11520206097196739,0.3243177007259539
2017-05-15,0.2911012824105851,0.06369163366059416,0.12135947269982965,0.08340600758627517,0.11565469677734615,0.32478690686536976
2017-05-16,0.2913906160089939,0.06332783898853245,0.11919213651658463,0.08397463845762006,0.11511400142891898,0.32700076859934996
2017-05-17,0.2907830020445297,0.06323472098719962,0.11974543122564602,0.08415635474471636,0.11767936297596994,0.3244011280219383
2017-05-18,0.29359132760814755,0.06244510603504534,0.11958479389878701,0.08366873459353721,0.11676732582756562,0.3239427120369173
2017-05-19,0.2930160156364874,0.06341383262233863,0.12012104051241441,0.08405097959091781,0.11664029823041694,0.32275783340742487
2017-05-22,0.2936258820196372,0.06384841319383606,0.1191498179364704,0.08364787442546255,0.1163161518372761,0.32341186058731775
2017-05-23,0.293645150238256,0.06373290325516567,0.11837620393077541,0.0832444459794003,0.11677204305559576,0.3242292535408069
2017-05-24,0.2944211166121294,0.06393448544221288,0.11838076548629808,0.08297551346053367,0.11770132080364697,0.32258679819517916
2017-05-25,0.29555211149703564,0.06396051559099626,0.11679768928052321,0.08257360489795913,0.11758765877704144,0.3235284199564444
2017-05-26,0.2953986609133745,0.06360959682804448,0.11769331162804487,0.08195025561493641,0.117191710404043,0.3241564646115568
2017-05-30,0.29505913043488685,0.06357649489062156,0.11737368695875056,0.08137291669253095,0.11705202296856472,0.32556574805464517
